loan_id,customer_id,loan_type,loan_amount,interest_rate,emi_amount,loan_status
146,45384,Home Loan,4879359,13.26,81322.65,DEFAULT
147,25211,Home Loan,2383511,10.96,39725.18,DEFAULT
148,16163,Home Loan,4406945,12.72,73449.08,DEFAULT
149,4410,Home Loan,1621174,13.23,27019.57,ACTIVE
150,41787,Car Loan,4757622,13.22,79293.7,CLOSED
151,46796,Personal Loan,3970464,7.97,66174.4,ACTIVE
152,40945,Home Loan,2532531,12.66,42208.85,CLOSED
153,326,Personal Loan,3773267,8.69,62887.78,DEFAULT
154,20635,Home Loan,4057464,12.81,67624.4,ACTIVE
155,47872,Car Loan,157187,12.11,2619.78,CLOSED
156,49538,Car Loan,925307,14.69,15421.78,DEFAULT
157,13320,Personal Loan,1130839,13.36,18847.32,ACTIVE
158,20462,Car Loan,4260212,10.41,71003.53,ACTIVE
159,6617,Home Loan,3367930,8.3,56132.17,CLOSED
160,6429,Car Loan,637222,13.12,10620.37,CLOSED
161,31519,Home Loan,1895859,9.1,31597.65,DEFAULT
162,33000,Car Loan,406998,13.7,6783.3,DEFAULT
163,21666,Personal Loan,554085,10.2,9234.75,CLOSED
164,46959,Home Loan,1760828,10.84,29347.13,DEFAULT
165,3780,Home Loan,1733151,8.39,28885.85,ACTIVE
166,45575,Personal Loan,4002255,10.52,66704.25,CLOSED
167,21900,Personal Loan,2963212,7.7,49386.87,CLOSED
168,2343,Home Loan,2248438,10.57,37473.97,ACTIVE
169,12265,Car Loan,2006246,11.94,33437.43,ACTIVE
170,26613,Home Loan,1668973,8.95,27816.22,CLOSED
171,401,Car Loan,2186972,12.87,36449.53,ACTIVE
172,24330,Car Loan,4532914,12.39,75548.57,ACTIVE
173,16016,Personal Loan,3023163,8.34,50386.05,CLOSED
174,17429,Home Loan,4761851,9.5,79364.18,CLOSED
175,9299,Car Loan,4968814,8.55,82813.57,DEFAULT
176,36851,Home Loan,2663379,10.6,44389.65,ACTIVE
177,26068,Personal Loan,3214811,14.22,53580.18,CLOSED
178,19678,Car Loan,2604237,8.94,43403.95,DEFAULT
179,13691,Car Loan,3874228,9.06,64570.47,DEFAULT
180,12192,Home Loan,3805142,10.03,63419.03,CLOSED
181,34472,Home Loan,3927411,9.74,65456.85,CLOSED
182,13840,Car Loan,3186611,13.94,53110.18,ACTIVE
183,46267,Car Loan,506170,11.98,8436.17,ACTIVE
184,28724,Home Loan,142868,14.75,2381.13,CLOSED
185,27380,Home Loan,461418,8.42,7690.3,DEFAULT
186,31222,Car Loan,547824,14.4,9130.4,ACTIVE
187,30486,Car Loan,3554006,9.33,59233.43,CLOSED
188,31861,Personal Loan,3084088,13.2,51401.47,DEFAULT
189,34812,Home Loan,1445147,12.84,24085.78,DEFAULT
190,8019,Car Loan,2064630,14.42,34410.5,ACTIVE
191,22273,Car Loan,2295453,12.96,38257.55,ACTIVE
192,2127,Car Loan,1258915,13.31,20981.92,CLOSED
193,36395,Home Loan,615643,9.77,10260.72,DEFAULT
194,26400,Personal Loan,955212,7.19,15920.2,ACTIVE
195,18812,Car Loan,4018683,13.3,66978.05,CLOSED
196,39390,Car Loan,798183,8.02,13303.05,DEFAULT
197,29905,Home Loan,1642328,14.19,27372.13,CLOSED
198,25226,Car Loan,1950146,10.74,32502.43,ACTIVE
199,7674,Personal Loan,4036936,11.82,67282.27,DEFAULT
200,20369,Personal Loan,3871250,13.55,64520.83,CLOSED
201,11116,Personal Loan,363364,7.27,6056.07,ACTIVE
202,19352,Car Loan,4482221,13.02,74703.68,DEFAULT
203,42045,Home Loan,2176397,9.49,36273.28,ACTIVE
204,36538,Home Loan,1859258,8.72,30987.63,CLOSED
205,7311,Car Loan,2330413,8.27,38840.22,CLOSED
206,42922,Car Loan,4902265,7.73,81704.42,ACTIVE
207,48309,Car Loan,3484103,12.32,58068.38,DEFAULT
208,13654,Personal Loan,2782033,11.08,46367.22,ACTIVE
209,48809,Car Loan,4876163,14.56,81269.38,ACTIVE
210,43474,Car Loan,4812092,13.98,80201.53,ACTIVE
211,18123,Car Loan,566001,13.63,9433.35,CLOSED
212,17793,Personal Loan,456885,10.92,7614.75,CLOSED
213,35224,Car Loan,3858640,11.93,64310.67,ACTIVE
214,37002,Home Loan,3841021,13.69,64017.02,ACTIVE
215,28535,Car Loan,1728113,7.24,28801.88,CLOSED
216,12943,Personal Loan,1927668,10.49,32127.8,CLOSED
217,28237,Personal Loan,4807185,11.49,80119.75,DEFAULT
218,25957,Personal Loan,3116173,14.37,51936.22,DEFAULT
219,41215,Home Loan,4161881,11.03,69364.68,ACTIVE
220,2888,Car Loan,2759176,9.95,45986.27,DEFAULT
221,5003,Car Loan,829528,9.18,13825.47,CLOSED
222,44650,Home Loan,1889546,11.51,31492.43,ACTIVE
223,48162,Personal Loan,1758515,13.09,29308.58,CLOSED
224,20551,Home Loan,1611857,13.99,26864.28,ACTIVE
225,43411,Personal Loan,1690264,11.6,28171.07,ACTIVE
226,35796,Personal Loan,842827,11.7,14047.12,CLOSED
227,26544,Car Loan,2219486,10.47,36991.43,ACTIVE
228,19845,Car Loan,4858003,11.05,80966.72,CLOSED
229,12973,Home Loan,1613436,11.6,26890.6,ACTIVE
230,27826,Car Loan,3355904,13.75,55931.73,ACTIVE
231,7905,Personal Loan,4104185,11.07,68403.08,ACTIVE
232,17362,Home Loan,1621713,13.54,27028.55,CLOSED
233,8956,Car Loan,4572454,14.56,76207.57,ACTIVE
234,13622,Home Loan,3388306,8.68,56471.77,DEFAULT
235,24140,Car Loan,4565878,14.67,76097.97,ACTIVE
236,34178,Personal Loan,569537,7.97,9492.28,CLOSED
237,3277,Car Loan,1204112,9.05,20068.53,DEFAULT
238,35998,Home Loan,1160355,10.51,19339.25,CLOSED
239,40966,Home Loan,658316,10.94,10971.93,ACTIVE
240,23147,Car Loan,3420568,14.51,57009.47,ACTIVE
241,3918,Personal Loan,3916342,10.33,65272.37,DEFAULT
242,35961,Personal Loan,4432562,8.82,73876.03,DEFAULT
243,24132,Car Loan,4626811,10.05,77113.52,ACTIVE
244,43771,Home Loan,4126405,11.6,68773.42,DEFAULT
245,42835,Home Loan,796791,10.74,13279.85,CLOSED
246,3028,Personal Loan,3066644,9.92,51110.73,DEFAULT
247,46489,Car Loan,4394415,14.88,73240.25,DEFAULT
248,43966,Home Loan,1981995,12.45,33033.25,ACTIVE
249,36737,Car Loan,4163981,11.1,69399.68,CLOSED
250,39440,Personal Loan,4596596,12.89,76609.93,ACTIVE
251,9524,Car Loan,180380,7.17,3006.33,CLOSED
252,8238,Car Loan,2440759,11.0,40679.32,DEFAULT
253,46058,Home Loan,2958609,7.51,49310.15,CLOSED
254,15848,Personal Loan,3182729,8.25,53045.48,CLOSED
255,38275,Car Loan,4707316,11.81,78455.27,DEFAULT
256,13885,Personal Loan,4099448,8.76,68324.13,DEFAULT
257,25527,Personal Loan,536175,8.17,8936.25,DEFAULT
258,4727,Car Loan,860616,8.96,14343.6,CLOSED
259,1622,Personal Loan,2961037,10.31,49350.62,CLOSED
260,26034,Personal Loan,1795416,8.44,29923.6,DEFAULT
261,32176,Car Loan,3579675,14.45,59661.25,ACTIVE
262,11141,Personal Loan,2305738,14.35,38428.97,DEFAULT
263,31294,Personal Loan,1023200,7.01,17053.33,DEFAULT
264,14989,Home Loan,2003638,7.84,33393.97,ACTIVE
265,46439,Car Loan,2864186,10.89,47736.43,DEFAULT
266,38607,Personal Loan,750226,13.9,12503.77,CLOSED
267,22917,Car Loan,4834812,8.89,80580.2,CLOSED
268,24604,Personal Loan,4109718,14.1,68495.3,CLOSED
269,35124,Car Loan,3206383,11.41,53439.72,DEFAULT
270,16758,Car Loan,2078673,13.93,34644.55,ACTIVE
271,28545,Personal Loan,279074,11.82,4651.23,DEFAULT
272,12113,Car Loan,4541951,11.87,75699.18,CLOSED
273,24013,Home Loan,2548319,8.76,42471.98,CLOSED
274,33436,Car Loan,4349277,10.91,72487.95,DEFAULT
275,14453,Personal Loan,363607,8.53,6060.12,ACTIVE
276,9992,Car Loan,99483,8.44,1658.05,DEFAULT
277,11177,Car Loan,1056778,11.76,17612.97,ACTIVE
278,20051,Personal Loan,4272151,10.82,71202.52,DEFAULT
279,21433,Personal Loan,3882780,14.94,64713.0,DEFAULT
280,34909,Personal Loan,4124484,13.38,68741.4,DEFAULT
281,12798,Home Loan,3812516,10.82,63541.93,CLOSED
282,16775,Car Loan,2050128,9.78,34168.8,ACTIVE
283,48333,Car Loan,2521519,8.64,42025.32,ACTIVE
284,2527,Car Loan,1941476,9.83,32357.93,ACTIVE
285,17300,Car Loan,2452891,12.05,40881.52,ACTIVE
286,40126,Home Loan,2558584,12.57,42643.07,ACTIVE
287,39768,Personal Loan,262036,12.64,4367.27,CLOSED
288,25513,Personal Loan,1794330,10.85,29905.5,CLOSED
289,7735,Home Loan,2142839,10.94,35713.98,ACTIVE
290,31352,Home Loan,146916,8.35,2448.6,CLOSED
291,46130,Car Loan,2182967,12.82,36382.78,ACTIVE
292,47374,Car Loan,4620083,8.75,77001.38,ACTIVE
293,26284,Personal Loan,3645990,14.73,60766.5,DEFAULT
294,34525,Personal Loan,3833233,10.79,63887.22,ACTIVE
295,24694,Personal Loan,4852191,12.27,80869.85,DEFAULT
296,30656,Home Loan,4462166,14.19,74369.43,ACTIVE
297,37154,Home Loan,1380834,8.59,23013.9,CLOSED
298,35707,Personal Loan,2897718,11.11,48295.3,DEFAULT
299,23876,Personal Loan,1797198,8.48,29953.3,ACTIVE
300,41141,Home Loan,1274139,14.56,21235.65,DEFAULT
301,33904,Home Loan,3542433,13.19,59040.55,CLOSED
302,11352,Personal Loan,4141196,11.72,69019.93,DEFAULT
303,495,Car Loan,942164,7.97,15702.73,CLOSED
304,1806,Car Loan,822740,9.14,13712.33,DEFAULT
305,46620,Home Loan,163926,11.83,2732.1,CLOSED
306,14791,Car Loan,4426008,7.23,73766.8,CLOSED
307,48662,Car Loan,2854392,10.24,47573.2,DEFAULT
308,25219,Home Loan,3094315,10.69,51571.92,CLOSED
309,25131,Home Loan,2676757,7.45,44612.62,DEFAULT
310,16260,Personal Loan,3146479,7.91,52441.32,DEFAULT
311,33109,Home Loan,790613,10.73,13176.88,CLOSED
312,3622,Personal Loan,3152125,9.34,52535.42,CLOSED
313,43055,Car Loan,3615538,8.98,60258.97,DEFAULT
314,23713,Personal Loan,3111975,11.56,51866.25,DEFAULT
315,1559,Car Loan,1940660,8.4,32344.33,DEFAULT
316,13370,Home Loan,3491861,13.02,58197.68,DEFAULT
317,30950,Car Loan,1897876,8.89,31631.27,CLOSED
318,3883,Home Loan,1342464,8.34,22374.4,ACTIVE
319,36001,Home Loan,503664,7.59,8394.4,CLOSED
320,43039,Personal Loan,4068969,11.98,67816.15,CLOSED
321,26129,Car Loan,1297826,9.72,21630.43,CLOSED
322,38745,Personal Loan,2975031,9.02,49583.85,ACTIVE
323,28212,Car Loan,1731112,9.86,28851.87,ACTIVE
324,13024,Car Loan,3647070,11.82,60784.5,ACTIVE
325,35811,Home Loan,1301382,12.47,21689.7,CLOSED
326,40453,Home Loan,3569327,7.38,59488.78,ACTIVE
327,29868,Car Loan,3218375,11.87,53639.58,DEFAULT
328,27751,Home Loan,1862637,7.37,31043.95,ACTIVE
329,48263,Car Loan,2066850,11.43,34447.5,DEFAULT
330,13242,Car Loan,1155108,13.29,19251.8,CLOSED
331,3523,Personal Loan,4828421,7.1,80473.68,DEFAULT
332,7010,Personal Loan,4907208,9.13,81786.8,CLOSED
333,843,Car Loan,1119299,8.4,18654.98,CLOSED
334,28275,Car Loan,3453236,8.01,57553.93,DEFAULT
335,35399,Car Loan,786727,9.32,13112.12,ACTIVE
336,48388,Home Loan,725262,12.4,12087.7,ACTIVE
337,30500,Home Loan,4828884,14.89,80481.4,DEFAULT
338,36847,Personal Loan,3278740,13.62,54645.67,CLOSED
339,31801,Home Loan,1754398,13.47,29239.97,CLOSED
340,35780,Personal Loan,2603432,9.1,43390.53,DEFAULT
341,39806,Car Loan,2157763,12.15,35962.72,ACTIVE
342,34699,Personal Loan,4186741,9.89,69779.02,DEFAULT
343,30104,Personal Loan,562197,14.26,9369.95,ACTIVE
344,26520,Car Loan,2310147,9.15,38502.45,CLOSED
345,43332,Home Loan,2479617,14.91,41326.95,ACTIVE
346,47254,Home Loan,4850945,9.42,80849.08,ACTIVE
347,37168,Car Loan,4641605,14.92,77360.08,DEFAULT
348,44940,Personal Loan,2371163,13.82,39519.38,DEFAULT
349,4463,Personal Loan,708427,13.6,11807.12,ACTIVE
350,46755,Car Loan,4493962,11.58,74899.37,DEFAULT
351,7002,Personal Loan,4897618,11.37,81626.97,DEFAULT
352,31319,Home Loan,2490891,14.63,41514.85,ACTIVE
353,9892,Personal Loan,1598916,7.88,26648.6,CLOSED
354,16216,Car Loan,1955596,8.92,32593.27,DEFAULT
355,23322,Personal Loan,562261,8.23,9371.02,DEFAULT
356,46293,Personal Loan,3555028,7.91,59250.47,ACTIVE
357,9362,Home Loan,4109515,13.01,68491.92,CLOSED
358,37270,Home Loan,4541232,9.39,75687.2,DEFAULT
359,33119,Home Loan,1413535,10.85,23558.92,ACTIVE
360,27792,Car Loan,2456449,7.59,40940.82,DEFAULT
361,46122,Car Loan,233403,10.37,3890.05,ACTIVE
362,40358,Car Loan,2497504,12.13,41625.07,ACTIVE
363,4285,Car Loan,2137746,13.29,35629.1,ACTIVE
364,28496,Car Loan,1560117,11.61,26001.95,CLOSED
365,14589,Home Loan,264103,10.74,4401.72,CLOSED
366,46360,Car Loan,2920974,7.55,48682.9,CLOSED
367,22935,Personal Loan,162271,11.13,2704.52,ACTIVE
368,23572,Home Loan,2668316,8.18,44471.93,DEFAULT
369,10356,Home Loan,714343,14.89,11905.72,DEFAULT
370,26453,Home Loan,1256939,8.25,20948.98,CLOSED
371,29492,Personal Loan,155522,14.78,2592.03,ACTIVE
372,30989,Home Loan,918099,7.69,15301.65,ACTIVE
373,44999,Car Loan,4578881,10.45,76314.68,DEFAULT
374,6887,Car Loan,820938,11.84,13682.3,ACTIVE
375,44029,Car Loan,1899412,10.57,31656.87,ACTIVE
376,14186,Home Loan,3761331,12.63,62688.85,DEFAULT
377,7281,Personal Loan,2680583,8.79,44676.38,DEFAULT
378,2277,Car Loan,3091990,10.05,51533.17,DEFAULT
379,42831,Personal Loan,4929431,13.88,82157.18,DEFAULT
380,18519,Home Loan,454746,10.17,7579.1,DEFAULT
381,9344,Personal Loan,4580298,13.41,76338.3,DEFAULT
382,20894,Personal Loan,3431283,12.53,57188.05,DEFAULT
383,30586,Personal Loan,2336699,11.72,38944.98,ACTIVE
384,33225,Personal Loan,3324231,11.87,55403.85,CLOSED
385,16216,Car Loan,1286914,9.44,21448.57,CLOSED
386,10381,Car Loan,2310673,11.43,38511.22,CLOSED
387,2778,Personal Loan,4173982,13.53,69566.37,CLOSED
388,43535,Home Loan,3581571,9.43,59692.85,CLOSED
389,44801,Personal Loan,3597422,11.05,59957.03,DEFAULT
390,35265,Personal Loan,1326474,9.48,22107.9,ACTIVE
391,2756,Personal Loan,1595064,13.77,26584.4,ACTIVE
392,16059,Home Loan,4493008,8.13,74883.47,CLOSED
393,28927,Car Loan,268922,13.14,4482.03,DEFAULT
394,14882,Personal Loan,4028294,12.65,67138.23,CLOSED
395,23987,Personal Loan,2646830,10.73,44113.83,ACTIVE
396,14168,Home Loan,4709670,9.81,78494.5,DEFAULT
397,32340,Personal Loan,2657663,10.61,44294.38,DEFAULT
398,33348,Personal Loan,1147284,9.35,19121.4,CLOSED
399,47703,Home Loan,3058173,10.95,50969.55,DEFAULT
400,38099,Car Loan,2385204,7.01,39753.4,ACTIVE
401,44650,Personal Loan,220185,8.6,3669.75,CLOSED
402,3206,Car Loan,2302632,12.08,38377.2,CLOSED
403,37232,Car Loan,4798577,9.0,79976.28,DEFAULT
404,22219,Home Loan,1668163,8.0,27802.72,ACTIVE
405,20422,Car Loan,4570645,12.64,76177.42,CLOSED
406,6475,Personal Loan,2350800,8.8,39180.0,DEFAULT
407,17252,Personal Loan,2591735,12.11,43195.58,ACTIVE
408,36194,Personal Loan,2969219,10.51,49486.98,CLOSED
409,40247,Personal Loan,1436691,9.34,23944.85,CLOSED
410,44788,Car Loan,759723,14.23,12662.05,CLOSED
411,9510,Car Loan,2629143,11.65,43819.05,ACTIVE
412,6921,Home Loan,4027715,7.46,67128.58,CLOSED
413,779,Car Loan,694335,9.36,11572.25,CLOSED
414,10267,Personal Loan,2666892,10.83,44448.2,ACTIVE
415,38619,Car Loan,3933037,10.64,65550.62,ACTIVE
416,11866,Car Loan,2133055,7.0,35550.92,ACTIVE
417,26697,Home Loan,1840164,11.32,30669.4,CLOSED
418,4231,Car Loan,4654990,11.94,77583.17,CLOSED
419,699,Personal Loan,1402378,12.27,23372.97,DEFAULT
420,12912,Car Loan,2869763,9.59,47829.38,ACTIVE
421,37409,Home Loan,795247,10.81,13254.12,DEFAULT
422,14071,Car Loan,4070824,13.14,67847.07,ACTIVE
423,1328,Personal Loan,1289839,12.93,21497.32,ACTIVE
424,21778,Home Loan,4247906,10.48,70798.43,DEFAULT
425,46591,Car Loan,487564,12.46,8126.07,CLOSED
426,21721,Home Loan,1216824,8.96,20280.4,CLOSED
427,17147,Personal Loan,3119078,10.02,51984.63,CLOSED
428,30069,Personal Loan,2750691,14.23,45844.85,ACTIVE
429,48763,Personal Loan,3990894,7.82,66514.9,ACTIVE
430,16971,Home Loan,3285054,8.76,54750.9,DEFAULT
431,39918,Personal Loan,1975055,10.28,32917.58,CLOSED
432,39011,Car Loan,2877857,14.48,47964.28,ACTIVE
433,21475,Car Loan,2597789,14.58,43296.48,ACTIVE
434,33190,Car Loan,4681554,8.08,78025.9,CLOSED
435,4084,Personal Loan,611686,8.8,10194.77,CLOSED
436,23562,Personal Loan,287658,14.56,4794.3,ACTIVE
437,28629,Home Loan,4154392,9.03,69239.87,CLOSED
438,7041,Home Loan,542982,9.85,9049.7,CLOSED
439,7420,Personal Loan,4760020,14.32,79333.67,ACTIVE
440,10967,Personal Loan,2869680,12.86,47828.0,DEFAULT
441,36117,Home Loan,2270836,11.02,37847.27,DEFAULT
442,1349,Home Loan,1197621,12.52,19960.35,DEFAULT
443,31963,Home Loan,2791489,7.37,46524.82,CLOSED
444,8840,Personal Loan,4905612,12.05,81760.2,DEFAULT
445,42133,Personal Loan,56342,11.33,939.03,ACTIVE
446,47104,Home Loan,2914108,13.9,48568.47,DEFAULT
447,2024,Car Loan,1234352,7.65,20572.53,CLOSED
448,47473,Home Loan,2010070,13.21,33501.17,DEFAULT
449,34724,Car Loan,3263970,10.58,54399.5,ACTIVE
450,42259,Car Loan,384926,8.33,6415.43,CLOSED
451,25482,Personal Loan,2972450,12.91,49540.83,ACTIVE
452,16279,Home Loan,3783290,9.25,63054.83,CLOSED
