account_id,customer_id,branch_id,account_type,balance,account_status
46,16970,2,Current,153313.4,INACTIVE
47,43703,5,Savings,142838.69,ACTIVE
48,5632,3,Savings,205837.99,ACTIVE
49,7702,1,Savings,64920.77,INACTIVE
50,2403,3,Current,66830.75,INACTIVE
51,45205,2,Current,123723.11,ACTIVE
52,4384,5,Current,106084.08,ACTIVE
53,39910,1,Current,322134.04,INACTIVE
54,48569,5,Savings,40767.59,INACTIVE
55,27953,1,Current,227813.01,INACTIVE
56,3339,3,Current,276189.23,ACTIVE
57,24325,3,Current,464020.21,INACTIVE
58,42785,5,Savings,48473.2,ACTIVE
59,28601,1,Current,310160.55,ACTIVE
60,12578,3,Current,98509.82,ACTIVE
61,639,4,Current,75381.65,INACTIVE
62,40603,2,Current,396403.79,ACTIVE
63,29306,5,Current,51531.19,INACTIVE
64,8556,4,Savings,224736.38,ACTIVE
65,30556,1,Current,89702.4,INACTIVE
66,16017,3,Current,46543.49,INACTIVE
67,3898,3,Savings,252873.81,ACTIVE
68,21345,2,Savings,482358.26,ACTIVE
69,7892,2,Current,148308.99,INACTIVE
70,48100,3,Savings,129261.35,INACTIVE
71,42893,2,Current,313956.38,ACTIVE
72,10878,3,Current,447866.47,ACTIVE
73,27481,2,Savings,342658.86,ACTIVE
74,30317,4,Current,470538.08,ACTIVE
75,29504,5,Current,62371.97,ACTIVE
76,7563,5,Current,213961.0,INACTIVE
77,5715,1,Savings,237356.61,INACTIVE
78,14617,5,Current,35678.0,ACTIVE
79,19990,3,Savings,81888.58,ACTIVE
80,34347,4,Current,273953.15,INACTIVE
81,13664,1,Current,359911.12,ACTIVE
82,17122,5,Current,429185.85,ACTIVE
83,47430,2,Savings,274277.5,ACTIVE
84,23098,4,Savings,167223.44,ACTIVE
85,20831,3,Savings,348672.83,INACTIVE
86,45027,4,Current,50813.29,INACTIVE
87,26287,5,Current,439900.51,ACTIVE
88,41080,1,Current,113201.36,INACTIVE
89,14331,1,Current,319764.19,ACTIVE
90,20119,3,Savings,95753.52,INACTIVE
91,12635,2,Savings,487988.65,INACTIVE
92,32461,3,Current,20352.79,INACTIVE
93,39705,5,Savings,106789.45,INACTIVE
94,47684,3,Savings,154468.46,INACTIVE
95,3355,1,Current,477538.25,ACTIVE
96,27736,5,Current,66460.79,ACTIVE
97,41564,5,Current,443426.59,ACTIVE
98,41783,5,Savings,312738.37,ACTIVE
99,32965,1,Savings,230860.21,ACTIVE
100,20491,5,Savings,9351.31,ACTIVE
101,48154,1,Savings,142797.82,INACTIVE
102,25841,3,Current,35650.99,INACTIVE
103,19501,5,Savings,289145.57,INACTIVE
104,45101,4,Current,110040.16,ACTIVE
105,43699,5,Current,329837.25,ACTIVE
106,31682,5,Savings,64572.25,ACTIVE
107,19409,1,Savings,302478.63,ACTIVE
108,32047,4,Current,316519.46,INACTIVE
109,26423,3,Savings,56129.04,INACTIVE
110,13746,3,Savings,2470.22,ACTIVE
111,9928,3,Current,358409.7,ACTIVE
112,23875,5,Savings,151003.31,ACTIVE
113,49714,3,Current,206600.4,ACTIVE
114,8732,3,Current,420378.94,INACTIVE
115,4366,1,Savings,449518.61,ACTIVE
116,13707,4,Current,487115.6,ACTIVE
117,42205,2,Savings,279962.83,ACTIVE
118,37083,3,Savings,48826.1,INACTIVE
119,38318,3,Current,244297.9,ACTIVE
120,32962,2,Current,440099.58,INACTIVE
121,16673,2,Savings,153694.85,ACTIVE
122,32740,5,Savings,99080.48,INACTIVE
123,17397,3,Savings,257949.64,INACTIVE
124,42938,2,Savings,300996.18,INACTIVE
125,34797,3,Current,243447.34,ACTIVE
126,31246,2,Savings,267003.08,INACTIVE
127,167,5,Savings,26941.27,ACTIVE
128,7758,2,Current,101562.83,ACTIVE
129,15498,3,Savings,166374.92,INACTIVE
130,38633,3,Savings,466079.55,ACTIVE
131,1539,2,Savings,329031.36,INACTIVE
132,4386,5,Savings,359120.71,ACTIVE
133,47925,3,Current,162581.48,ACTIVE
134,27085,4,Savings,128542.31,INACTIVE
135,27499,5,Current,454032.31,INACTIVE
136,9539,4,Savings,300109.76,ACTIVE
137,35305,1,Savings,215307.48,ACTIVE
138,25291,1,Savings,257642.12,INACTIVE
139,44683,3,Savings,395795.6,ACTIVE
140,21579,2,Current,114181.95,INACTIVE
141,10469,5,Current,50727.57,INACTIVE
142,37381,1,Savings,391532.19,INACTIVE
143,18757,4,Current,488122.02,ACTIVE
144,21728,4,Current,386501.54,INACTIVE
145,14359,2,Savings,389098.98,ACTIVE
146,8648,1,Savings,469925.72,ACTIVE
147,16224,2,Current,444687.64,ACTIVE
148,29653,5,Current,94184.08,ACTIVE
149,37062,2,Savings,490703.75,INACTIVE
150,10563,5,Savings,430957.94,INACTIVE
151,14083,5,Savings,92854.69,INACTIVE
152,16526,3,Current,400432.31,INACTIVE
153,37513,5,Savings,423201.97,ACTIVE
154,32251,1,Current,6284.76,INACTIVE
155,34052,5,Savings,344185.88,INACTIVE
156,9879,1,Savings,257949.54,INACTIVE
157,34216,5,Current,441134.41,ACTIVE
158,18181,2,Savings,62025.55,ACTIVE
159,44097,4,Savings,296381.2,INACTIVE
160,18214,4,Current,45760.98,ACTIVE
161,1011,5,Current,9849.61,INACTIVE
162,10284,3,Current,396614.46,ACTIVE
163,13772,1,Current,332237.69,INACTIVE
164,20213,3,Savings,187172.32,ACTIVE
165,46421,2,Current,195696.31,ACTIVE
166,14890,1,Savings,355837.5,ACTIVE
167,40468,2,Current,374920.13,INACTIVE
168,16035,2,Current,58423.29,ACTIVE
169,22696,1,Savings,138090.01,INACTIVE
170,48767,3,Savings,476738.35,ACTIVE
171,34304,1,Current,394895.43,INACTIVE
172,21207,4,Savings,237070.54,INACTIVE
173,43688,2,Current,416371.69,ACTIVE
174,33449,1,Current,94220.08,ACTIVE
175,17847,3,Savings,324261.88,INACTIVE
176,23874,5,Current,343897.73,INACTIVE
177,38666,5,Savings,237945.71,ACTIVE
178,48347,1,Current,383904.44,INACTIVE
179,42916,5,Savings,263479.68,INACTIVE
180,35256,3,Savings,410198.68,INACTIVE
181,17025,4,Savings,347325.81,ACTIVE
182,3008,5,Current,2611.57,ACTIVE
183,31153,4,Savings,244106.01,INACTIVE
184,24773,4,Savings,471808.62,ACTIVE
185,18349,4,Savings,24766.73,ACTIVE
186,11917,5,Savings,493219.73,INACTIVE
187,25319,1,Savings,285340.04,ACTIVE
188,8101,3,Savings,334688.39,ACTIVE
189,18122,1,Savings,47328.98,ACTIVE
190,10071,2,Current,478896.63,INACTIVE
191,46342,3,Current,321093.38,ACTIVE
192,8420,1,Current,192132.98,ACTIVE
193,32259,4,Savings,298530.95,ACTIVE
194,3541,1,Savings,153203.08,ACTIVE
195,33207,3,Savings,171023.7,ACTIVE
196,22879,2,Savings,151358.57,ACTIVE
197,39838,2,Savings,480807.97,ACTIVE
198,14538,1,Current,108899.86,ACTIVE
199,9000,2,Savings,430503.89,ACTIVE
200,11854,5,Current,474854.1,ACTIVE
201,24062,2,Savings,241692.15,ACTIVE
202,39719,5,Savings,108225.75,ACTIVE
203,38644,1,Savings,24037.83,INACTIVE
204,41730,4,Savings,138977.27,INACTIVE
205,47474,3,Current,42348.46,INACTIVE
206,30475,5,Savings,101683.16,ACTIVE
207,26306,2,Current,371642.37,INACTIVE
208,46208,5,Current,297508.74,INACTIVE
209,49927,5,Current,268231.25,INACTIVE
210,9261,5,Savings,207372.58,ACTIVE
211,19833,4,Current,210547.13,INACTIVE
212,44190,3,Current,430759.9,ACTIVE
213,6044,2,Current,436319.82,ACTIVE
214,20839,1,Savings,398810.09,ACTIVE
215,26126,4,Savings,468461.36,INACTIVE
216,11781,2,Current,351509.63,INACTIVE
217,25684,3,Current,386141.66,ACTIVE
218,1023,5,Current,344104.05,INACTIVE
219,9558,4,Savings,28109.72,INACTIVE
220,38468,1,Current,30031.87,INACTIVE
221,19118,5,Current,153121.83,INACTIVE
222,15511,1,Current,141478.2,ACTIVE
223,2176,1,Current,238423.72,ACTIVE
224,20659,3,Current,185833.89,ACTIVE
225,23891,3,Savings,445150.29,ACTIVE
226,38719,1,Savings,316224.47,ACTIVE
227,6761,4,Current,253121.9,ACTIVE
228,15198,3,Current,346838.6,ACTIVE
229,39140,2,Current,233817.96,INACTIVE
230,47126,4,Savings,398571.6,ACTIVE
231,38293,3,Savings,358995.92,INACTIVE
232,4262,1,Savings,402038.21,INACTIVE
233,30032,1,Savings,7728.49,INACTIVE
234,17942,2,Current,235788.46,INACTIVE
235,7653,2,Current,139509.53,INACTIVE
236,27589,5,Current,371743.69,INACTIVE
237,10339,1,Savings,7713.32,ACTIVE
238,37573,5,Savings,234247.51,ACTIVE
239,187,4,Savings,38058.62,INACTIVE
240,30891,5,Savings,479996.34,ACTIVE
241,47011,1,Savings,52951.61,ACTIVE
242,21175,5,Current,448031.06,ACTIVE
243,47115,4,Savings,106249.93,ACTIVE
244,36965,2,Savings,45048.68,ACTIVE
245,7112,3,Current,333348.97,ACTIVE
246,7567,3,Current,121560.08,INACTIVE
247,20721,2,Current,417010.34,ACTIVE
248,45814,4,Current,477758.18,ACTIVE
249,41050,2,Savings,146554.46,ACTIVE
250,32112,1,Savings,406518.13,ACTIVE
251,24227,1,Current,171691.0,INACTIVE
252,43313,3,Current,368781.38,ACTIVE
253,37994,4,Current,387199.58,ACTIVE
254,14601,5,Savings,16562.7,INACTIVE
255,23303,5,Savings,146124.59,INACTIVE
256,2899,1,Current,222033.37,ACTIVE
257,11553,2,Savings,63242.32,INACTIVE
258,4386,2,Savings,311925.95,ACTIVE
259,10458,4,Current,280921.75,ACTIVE
260,24959,1,Savings,205720.23,INACTIVE
261,16846,2,Current,270131.62,ACTIVE
262,37058,5,Savings,254586.4,ACTIVE
263,38821,5,Current,162634.32,ACTIVE
264,20240,5,Current,129212.5,INACTIVE
265,37964,1,Current,128037.93,ACTIVE
266,40386,2,Savings,223942.4,ACTIVE
267,26922,5,Savings,53328.42,ACTIVE
268,5995,1,Current,319437.41,ACTIVE
269,13239,3,Savings,45975.5,INACTIVE
270,48151,3,Current,134824.02,ACTIVE
271,26383,5,Current,388523.82,ACTIVE
272,29408,5,Savings,281805.84,INACTIVE
273,43496,5,Current,229774.85,ACTIVE
274,39271,1,Current,475658.58,INACTIVE
275,36566,3,Savings,172616.77,ACTIVE
276,4383,1,Current,401786.24,INACTIVE
277,17061,4,Current,185743.32,INACTIVE
278,16154,5,Savings,284966.83,ACTIVE
279,19860,1,Savings,270841.0,INACTIVE
280,39305,3,Savings,353850.25,INACTIVE
281,8667,4,Current,124304.1,ACTIVE
282,42726,4,Current,377883.1,INACTIVE
283,7763,5,Savings,251691.61,ACTIVE
284,26936,5,Savings,457859.73,ACTIVE
285,40599,2,Current,192569.64,INACTIVE
286,15407,1,Current,354831.75,ACTIVE
287,18169,2,Current,281243.09,INACTIVE
288,43150,3,Savings,426223.59,INACTIVE
289,23939,3,Savings,31385.16,ACTIVE
290,9982,3,Savings,85189.77,INACTIVE
291,35961,2,Savings,374273.65,INACTIVE
292,12667,1,Current,491553.95,INACTIVE
293,41487,3,Savings,378256.77,INACTIVE
294,13211,5,Savings,151020.47,INACTIVE
295,48275,2,Current,280521.17,INACTIVE
296,14199,5,Current,192825.72,INACTIVE
297,11665,1,Current,209708.86,INACTIVE
298,36027,4,Savings,214092.72,ACTIVE
299,47233,4,Current,491541.45,ACTIVE
300,27524,4,Savings,271876.03,ACTIVE
301,42921,3,Current,8256.17,INACTIVE
302,4820,4,Savings,189305.97,ACTIVE
303,10898,5,Savings,298475.95,ACTIVE
304,29757,5,Current,1384.75,ACTIVE
305,23873,2,Current,439179.1,INACTIVE
306,9991,5,Savings,71943.09,ACTIVE
307,16511,5,Current,94528.46,ACTIVE
308,36779,4,Current,332784.46,ACTIVE
309,44529,1,Savings,206540.25,INACTIVE
310,42931,4,Current,205492.36,ACTIVE
311,45743,1,Savings,444462.39,INACTIVE
312,17475,1,Savings,470216.42,INACTIVE
313,29358,1,Savings,383015.95,ACTIVE
314,34192,3,Savings,261337.58,INACTIVE
315,48481,2,Savings,161894.48,ACTIVE
316,31189,4,Current,472432.02,ACTIVE
317,2525,5,Savings,48203.24,INACTIVE
318,18942,3,Savings,266042.49,INACTIVE
319,39417,1,Current,164971.86,INACTIVE
320,14632,4,Current,132148.36,INACTIVE
321,49128,4,Savings,202105.42,ACTIVE
322,19964,1,Current,39675.08,INACTIVE
323,39829,2,Current,323006.08,INACTIVE
324,26822,4,Savings,102409.78,INACTIVE
325,34859,2,Current,124693.34,INACTIVE
326,43644,5,Savings,257845.03,INACTIVE
327,47485,1,Savings,487272.34,ACTIVE
328,29232,3,Savings,235506.69,ACTIVE
329,21247,5,Current,266584.4,ACTIVE
330,12907,1,Savings,180735.01,ACTIVE
331,12132,5,Savings,287351.0,ACTIVE
332,41161,5,Savings,431944.3,ACTIVE
333,1926,5,Savings,101504.34,ACTIVE
334,31314,4,Current,26722.71,INACTIVE
335,23752,2,Current,32846.71,INACTIVE
336,48216,5,Current,118496.02,INACTIVE
337,19820,2,Savings,373207.12,ACTIVE
338,37213,3,Current,299316.53,INACTIVE
339,23679,1,Current,476027.22,ACTIVE
340,19533,3,Current,480595.72,ACTIVE
341,2492,3,Current,246259.22,ACTIVE
342,22176,3,Current,44296.44,INACTIVE
343,33147,2,Current,422945.38,ACTIVE
344,36016,3,Current,109833.1,ACTIVE
345,12324,3,Current,104300.36,ACTIVE
346,48366,4,Current,363163.86,ACTIVE
347,7592,1,Savings,189689.78,ACTIVE
348,29498,5,Savings,157195.08,INACTIVE
349,8065,1,Savings,78175.62,INACTIVE
350,16000,1,Savings,26139.43,INACTIVE
351,33534,2,Savings,134501.19,INACTIVE
352,31618,2,Savings,181288.73,ACTIVE
353,35337,4,Current,349404.51,ACTIVE
354,20467,2,Savings,100578.23,ACTIVE
355,44640,5,Current,335413.24,INACTIVE
356,29242,2,Savings,431027.47,ACTIVE
357,33736,4,Current,119615.07,ACTIVE
358,298,4,Current,1624.1,ACTIVE
359,4654,5,Current,397620.82,ACTIVE
360,29878,4,Savings,275679.34,INACTIVE
361,28664,2,Savings,392677.97,INACTIVE
362,14685,4,Savings,121427.14,INACTIVE
363,20235,1,Savings,159978.54,INACTIVE
364,9643,1,Current,272682.47,INACTIVE
365,5999,1,Current,325878.07,ACTIVE
366,442,5,Savings,181660.95,INACTIVE
367,44525,3,Savings,173275.55,INACTIVE
368,49206,4,Savings,67194.72,ACTIVE
369,4778,4,Savings,162679.76,INACTIVE
370,25128,4,Savings,288988.34,INACTIVE
371,5819,5,Savings,363008.1,ACTIVE
372,29885,4,Savings,458857.96,INACTIVE
373,13732,5,Savings,386700.64,ACTIVE
374,40302,4,Savings,315225.68,INACTIVE
375,5659,1,Current,267623.24,INACTIVE
376,12128,4,Current,289212.62,INACTIVE
377,4342,1,Current,148281.14,ACTIVE
378,38472,2,Current,298442.0,INACTIVE
379,18913,2,Savings,137644.1,INACTIVE
380,34552,2,Savings,112732.16,INACTIVE
381,41790,2,Savings,273541.18,INACTIVE
382,23649,5,Current,44917.87,INACTIVE
383,47580,1,Current,393981.63,ACTIVE
384,28643,3,Savings,203327.22,INACTIVE
385,2551,1,Savings,371017.79,INACTIVE
386,42397,2,Savings,478085.85,ACTIVE
387,39003,4,Current,173292.58,INACTIVE
388,26373,4,Savings,42799.64,INACTIVE
389,14381,2,Savings,126219.29,INACTIVE
390,47792,4,Current,167853.29,INACTIVE
391,2516,4,Savings,116811.16,ACTIVE
392,44613,1,Savings,230750.89,ACTIVE
393,3016,1,Savings,1553.73,INACTIVE
394,38863,5,Savings,29550.55,ACTIVE
395,44346,5,Savings,62553.84,ACTIVE
396,32099,1,Savings,406593.61,ACTIVE
397,12739,4,Current,263964.09,INACTIVE
398,41758,5,Savings,400993.61,ACTIVE
399,42320,1,Savings,412096.08,ACTIVE
400,16617,4,Savings,13924.04,ACTIVE
401,2192,2,Savings,9272.22,ACTIVE
402,36723,2,Current,159202.94,ACTIVE
403,31166,4,Savings,360540.47,ACTIVE
404,12079,5,Savings,354935.61,ACTIVE
405,24018,2,Savings,241869.65,ACTIVE
406,215,3,Current,244318.98,INACTIVE
407,36299,5,Current,168721.18,ACTIVE
408,40437,3,Current,99871.49,INACTIVE
409,936,4,Current,379414.14,ACTIVE
410,40337,3,Current,372273.0,INACTIVE
411,42001,3,Savings,212502.39,INACTIVE
412,37394,5,Current,69909.79,INACTIVE
413,48539,4,Savings,359389.06,INACTIVE
414,31453,4,Savings,299127.98,ACTIVE
415,46951,2,Current,496292.82,INACTIVE
416,49333,1,Savings,429811.6,INACTIVE
417,5397,3,Current,199907.68,ACTIVE
418,32122,1,Savings,47411.9,INACTIVE
419,29160,5,Current,235272.98,ACTIVE
420,10204,2,Savings,270373.68,ACTIVE
421,12442,1,Current,361754.38,INACTIVE
422,39379,2,Savings,157392.68,ACTIVE
423,47747,2,Savings,428581.44,INACTIVE
424,37901,5,Savings,333983.34,ACTIVE
425,46357,2,Savings,223756.72,INACTIVE
426,9684,3,Savings,138502.86,ACTIVE
427,4488,4,Savings,126114.32,ACTIVE
428,41630,3,Current,224492.35,INACTIVE
429,39553,2,Current,366663.32,ACTIVE
430,39035,2,Current,108569.16,INACTIVE
431,34621,1,Current,1161.34,INACTIVE
432,20023,4,Savings,165044.27,ACTIVE
433,19168,2,Current,358727.56,INACTIVE
434,10422,5,Current,344063.39,INACTIVE
435,42577,3,Savings,139823.12,INACTIVE
436,1958,4,Savings,185249.1,ACTIVE
437,45449,3,Current,108570.26,ACTIVE
438,19692,5,Savings,433286.38,INACTIVE
439,3314,4,Current,485274.54,INACTIVE
440,13080,3,Current,15051.21,INACTIVE
441,6667,1,Current,162286.55,ACTIVE
442,1671,3,Savings,267733.52,ACTIVE
443,45042,2,Savings,120608.77,INACTIVE
444,3162,1,Current,240692.63,ACTIVE
445,15042,4,Savings,308172.0,INACTIVE
446,30871,1,Current,236390.11,INACTIVE
447,34200,5,Savings,268060.54,INACTIVE
448,47135,5,Savings,289799.64,INACTIVE
449,46063,1,Current,379498.17,INACTIVE
450,24854,5,Current,201244.2,ACTIVE
451,27461,3,Savings,31878.09,ACTIVE
452,8387,3,Savings,296122.52,INACTIVE
453,19767,2,Current,217589.79,ACTIVE
454,43894,1,Current,430533.85,ACTIVE
455,38726,3,Savings,489155.42,INACTIVE
456,24316,2,Savings,492494.91,ACTIVE
457,16739,5,Current,292325.0,INACTIVE
458,12294,4,Savings,451738.08,INACTIVE
459,48188,2,Current,452994.65,INACTIVE
460,30130,5,Savings,344048.99,INACTIVE
461,20088,5,Savings,330334.46,ACTIVE
462,20210,5,Savings,183761.05,INACTIVE
463,17264,5,Savings,473113.38,ACTIVE
464,34647,5,Savings,446837.75,INACTIVE
465,12612,4,Current,410629.55,ACTIVE
466,32429,1,Savings,319386.05,ACTIVE
467,26347,4,Current,139307.92,INACTIVE
468,12492,1,Savings,285544.4,ACTIVE
469,18253,3,Savings,147186.31,ACTIVE
470,1336,4,Current,33161.78,ACTIVE
471,15622,5,Savings,481377.12,INACTIVE
472,11248,1,Savings,141254.94,ACTIVE
473,31851,1,Savings,39721.8,ACTIVE
474,39401,5,Savings,392697.02,INACTIVE
475,16164,1,Current,349539.46,INACTIVE
476,30833,5,Savings,1296.67,INACTIVE
477,15739,1,Savings,135353.26,ACTIVE
478,14642,1,Current,140146.01,INACTIVE
479,36219,5,Savings,86689.0,INACTIVE
480,34490,4,Savings,185795.44,INACTIVE
481,45185,3,Current,75225.88,INACTIVE
482,1527,4,Current,327247.42,ACTIVE
483,1713,3,Savings,132652.81,ACTIVE
484,964,1,Savings,34533.92,INACTIVE
485,8608,2,Savings,1235.67,ACTIVE
486,45092,2,Savings,398957.39,ACTIVE
487,37704,1,Current,37128.92,INACTIVE
488,45760,4,Savings,23352.15,INACTIVE
489,16195,3,Savings,96561.63,ACTIVE
490,21079,1,Savings,302827.49,INACTIVE
491,7078,2,Current,55673.45,INACTIVE
492,10942,1,Current,406359.98,ACTIVE
493,21449,4,Current,390436.92,ACTIVE
494,33687,4,Current,35381.3,ACTIVE
495,36705,3,Current,309542.29,ACTIVE
496,35570,4,Current,256428.33,ACTIVE
497,27270,1,Savings,383544.44,ACTIVE
498,13429,3,Savings,335552.41,ACTIVE
499,6728,1,Savings,243709.76,INACTIVE
500,10874,5,Savings,141053.91,INACTIVE
501,35680,4,Savings,122458.26,ACTIVE
502,15495,2,Current,421954.35,ACTIVE
503,80,3,Savings,75002.61,ACTIVE
504,43557,2,Savings,103681.62,ACTIVE
505,35364,2,Savings,245490.47,ACTIVE
506,25779,4,Savings,466153.37,INACTIVE
507,30676,2,Savings,186910.63,ACTIVE
508,17513,4,Current,404828.07,ACTIVE
509,40082,1,Current,215816.57,ACTIVE
510,10852,3,Savings,479877.3,INACTIVE
511,32350,3,Current,210968.28,INACTIVE
512,14833,3,Current,294529.39,ACTIVE
513,43391,1,Savings,215133.87,ACTIVE
514,19441,3,Savings,247760.1,INACTIVE
515,6814,1,Savings,135368.3,ACTIVE
516,19763,3,Savings,431634.13,ACTIVE
517,39096,5,Savings,170138.15,ACTIVE
518,20591,5,Savings,478570.59,ACTIVE
519,39143,4,Savings,28748.28,ACTIVE
520,9380,2,Current,253581.97,ACTIVE
521,19976,2,Current,471639.27,INACTIVE
522,5918,4,Current,308666.64,INACTIVE
523,14434,4,Current,302473.41,ACTIVE
524,14028,4,Current,487307.45,ACTIVE
525,19737,5,Current,15534.56,ACTIVE
526,6723,1,Savings,132295.92,INACTIVE
527,35110,3,Savings,492488.88,ACTIVE
528,24163,3,Savings,270965.93,INACTIVE
529,36851,1,Current,400750.44,ACTIVE
530,43112,1,Savings,477416.2,INACTIVE
531,26411,3,Savings,20784.54,INACTIVE
532,34297,1,Savings,359421.28,ACTIVE
533,45963,3,Current,234510.31,ACTIVE
534,19820,2,Savings,288807.87,ACTIVE
535,21606,3,Savings,233347.66,INACTIVE
536,39757,2,Current,205248.87,INACTIVE
537,12710,3,Savings,64448.66,INACTIVE
538,11573,2,Current,455700.32,ACTIVE
539,35356,1,Current,379882.81,ACTIVE
540,45054,5,Current,123692.38,INACTIVE
541,37679,4,Savings,240757.62,ACTIVE
542,15242,1,Savings,395098.93,INACTIVE
543,42111,5,Savings,194133.24,ACTIVE
544,46129,1,Current,212504.61,INACTIVE
545,4641,4,Current,402110.96,ACTIVE
546,13528,2,Savings,88330.36,INACTIVE
547,28632,2,Current,156153.09,INACTIVE
548,17849,4,Savings,128211.26,INACTIVE
549,3293,1,Savings,349350.54,ACTIVE
550,13978,5,Current,298307.47,INACTIVE
551,14603,1,Savings,406006.2,INACTIVE
552,33148,5,Current,447305.65,INACTIVE
553,39356,1,Savings,98750.08,ACTIVE
554,31698,4,Savings,349196.75,INACTIVE
555,5931,4,Current,382763.58,ACTIVE
556,2484,4,Savings,191237.78,INACTIVE
557,17952,3,Current,406129.92,INACTIVE
558,25144,2,Savings,417477.78,ACTIVE
559,36000,1,Current,490287.22,ACTIVE
560,10668,5,Current,239811.77,INACTIVE
561,8782,2,Savings,39979.47,ACTIVE
562,33570,1,Savings,19534.52,ACTIVE
563,48799,5,Savings,393469.64,ACTIVE
564,28103,5,Current,275676.88,INACTIVE
565,40233,5,Savings,32472.7,ACTIVE
566,43005,4,Savings,269188.94,INACTIVE
567,10640,5,Savings,157556.37,INACTIVE
568,8265,3,Savings,27612.68,INACTIVE
569,41140,1,Current,216491.45,ACTIVE
570,1733,3,Savings,430836.8,INACTIVE
571,46356,5,Current,499545.79,ACTIVE
572,32117,4,Savings,58422.2,ACTIVE
573,14700,2,Current,475348.61,INACTIVE
574,10080,4,Savings,338785.04,INACTIVE
575,49850,1,Savings,463347.25,ACTIVE
576,40488,1,Savings,350564.81,INACTIVE
577,30574,3,Current,52295.68,ACTIVE
578,9319,3,Current,347331.7,ACTIVE
579,25729,2,Savings,448356.68,INACTIVE
580,20441,4,Current,297357.18,INACTIVE
581,7345,3,Savings,404216.49,ACTIVE
582,35729,2,Current,457464.59,INACTIVE
583,47112,4,Current,495284.74,ACTIVE
584,23177,4,Savings,489812.24,ACTIVE
585,20613,3,Current,410310.49,INACTIVE
586,34610,3,Current,114855.38,INACTIVE
587,13020,2,Savings,362726.33,ACTIVE
588,9113,2,Current,176199.15,ACTIVE
589,27054,4,Current,47442.38,INACTIVE
590,14011,4,Savings,11662.15,INACTIVE
591,2988,2,Savings,35746.74,ACTIVE
592,11221,5,Current,131107.29,ACTIVE
593,3480,3,Savings,18011.99,ACTIVE
594,49743,1,Savings,372964.09,ACTIVE
595,26362,1,Current,52493.14,INACTIVE
596,48376,5,Savings,157718.13,ACTIVE
597,14185,2,Current,476922.55,ACTIVE
598,19909,2,Savings,330776.44,ACTIVE
599,20019,5,Savings,124702.67,INACTIVE
600,40866,4,Savings,273702.25,INACTIVE
601,23868,1,Savings,212211.07,ACTIVE
602,48912,3,Savings,334562.6,INACTIVE
603,27616,3,Current,106605.52,ACTIVE
604,43047,5,Savings,384521.96,INACTIVE
605,23668,2,Savings,359672.39,INACTIVE
606,10282,2,Current,72592.47,INACTIVE
607,21600,1,Current,451854.27,INACTIVE
608,36258,4,Savings,58522.14,ACTIVE
609,27373,5,Savings,136453.12,INACTIVE
610,30922,5,Savings,306903.68,ACTIVE
611,30461,3,Savings,137847.37,ACTIVE
612,24944,2,Savings,92619.19,ACTIVE
613,48636,5,Savings,51150.07,INACTIVE
614,29537,1,Current,451778.11,ACTIVE
615,20112,3,Current,470954.39,ACTIVE
616,21772,5,Current,43435.65,INACTIVE
617,40462,2,Savings,295644.41,INACTIVE
618,49939,2,Current,376429.8,INACTIVE
619,31623,1,Current,407332.15,ACTIVE
